AC,AF,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgD,AvgH,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxD,MaxH,Month,Referee,VCA,VCD,VCH,Year,season
6.0,14.0,0.0,1.0,11.0,5.0,1.0,2.02,1.71,2.74,2.04,1.82,3.16,2.4,Blackburn,2.75,3.2,2.5,2.9,3.3,2.2,2005-08-13,13,E0,1.0,3.0,H,2.0,11.0,0.0,13.0,5.0,1.0,0.0,A,0.0,West Ham,2.7,3.0,2.3,1.8,2.25,2.9,2.08,1.86,3.35,2.6,08,A Wiley,2.75,3.25,2.4,05,0506
8.0,16.0,-0.25,0.0,13.0,6.0,2.0,2.01,1.7,3.05,1.84,2.01,3.16,2.2,Bolton,3.0,3.25,2.3,3.15,3.25,2.1,2005-08-13,13,E0,2.0,2.0,D,7.0,14.0,0.0,3.0,2.0,2.0,2.0,D,0.0,Aston Villa,3.1,3.0,2.1,1.87,2.2,3.4,1.92,2.1,3.3,2.4,08,M Riley,3.1,3.25,2.2,05,0506
6.0,14.0,0.75,0.0,12.0,5.0,1.0,1.93,1.79,1.69,1.86,2.0,3.36,4.69,Man United,1.72,3.4,5.0,1.75,3.35,4.35,2005-08-13,13,E0,2.0,0.0,A,8.0,15.0,0.0,10.0,5.0,1.0,0.0,A,3.0,Everton,1.8,3.1,3.8,1.87,2.1,1.8,1.93,2.05,3.7,5.65,08,G Poll,1.8,3.3,4.5,05,0506
6.0,13.0,0.0,0.0,7.0,4.0,2.0,2.04,1.69,2.87,2.05,1.81,3.16,2.31,Birmingham,2.87,3.25,2.37,2.8,3.2,2.3,2005-08-13,13,E0,0.0,0.0,D,6.0,12.0,0.0,15.0,7.0,0.0,0.0,D,1.0,Fulham,2.9,3.0,2.2,1.77,2.24,3.05,2.11,1.85,3.3,2.6,08,R Styles,2.8,3.25,2.35,05,0506
6.0,11.0,-0.75,0.0,13.0,3.0,3.0,1.94,1.77,4.79,1.76,2.1,3.38,1.69,West Brom,5.0,3.4,1.72,4.8,3.45,1.65,2005-08-13,13,E0,0.0,0.0,D,3.0,13.0,0.0,15.0,8.0,0.0,0.0,D,2.0,Man City,4.2,3.2,1.7,1.9,2.1,5.6,1.83,2.19,3.63,1.8,08,C Foy,5.0,3.25,1.75,05,0506
0.0,11.0,0.25,0.0,16.0,7.0,3.0,2.02,1.71,2.35,2.0,1.86,3.17,2.81,Liverpool,2.4,3.2,2.87,2.2,3.35,2.9,2005-08-13,13,E0,0.0,0.0,D,5.0,17.0,1.0,4.0,2.0,0.0,0.0,D,2.0,Middlesbrough,2.5,3.0,2.5,1.8,2.23,2.5,2.04,1.89,3.35,3.3,08,M Halsey,2.35,3.25,2.8,05,0506
2.0,23.0,0.25,0.0,11.0,6.0,2.0,1.96,1.75,2.35,1.99,1.87,3.18,2.79,Tottenham,2.5,3.2,2.75,2.4,3.25,2.65,2005-08-13,13,E0,2.0,0.0,A,7.0,13.0,0.0,11.0,7.0,1.0,0.0,A,0.0,Portsmouth,2.5,3.0,2.5,1.84,2.1,2.5,2.03,1.95,3.3,3.25,08,B Knight,2.4,3.25,2.75,05,0506
5.0,17.0,-0.25,1.0,14.0,4.0,0.0,1.98,1.74,2.82,1.83,2.03,3.17,2.33,Charlton,2.9,3.2,2.37,2.85,3.25,2.25,2005-08-13,13,E0,3.0,1.0,A,5.0,15.0,0.0,12.0,8.0,1.0,1.0,D,2.0,Sunderland,2.9,3.0,2.2,1.82,2.12,3.05,1.86,2.07,3.35,2.6,08,H Webb,2.75,3.25,2.4,05,0506
3.0,17.0,-1.25,1.0,2.0,1.0,1.0,1.7,2.01,7.36,1.83,2.03,3.91,1.42,Newcastle,8.0,4.2,1.4,9.0,4.0,1.35,2005-08-14,14,E0,0.0,2.0,H,8.0,15.0,0.0,15.0,12.0,0.0,0.0,D,0.0,Arsenal,5.4,3.8,1.45,2.25,1.8,8.73,1.89,2.08,4.45,1.5,08,S Bennett,7.5,3.8,1.45,05,0506
6.0,7.0,1.5,0.0,20.0,9.0,0.0,1.76,1.95,1.32,1.91,1.92,4.32,9.05,Chelsea,1.33,4.5,10.0,1.3,4.6,9.0,2005-08-14,14,E0,1.0,0.0,A,2.0,14.0,0.0,12.0,5.0,0.0,0.0,D,1.0,Wigan,1.4,3.9,6.0,2.11,1.88,1.4,2.0,2.0,5.0,12.5,08,M Clattenburg,1.3,4.5,11.0,05,0506
4.0,11.0,-0.5,0.0,4.0,0.0,1.0,1.92,1.79,4.5,2.03,1.82,3.3,1.74,Wigan,4.33,3.4,1.8,5.0,3.2,1.7,2005-08-20,20,E0,0.0,1.0,H,4.0,10.0,0.0,21.0,10.0,0.0,1.0,H,0.0,Charlton,3.8,3.1,1.8,1.91,2.06,5.3,2.1,1.86,3.5,1.83,08,R Styles,4.5,3.5,1.75,05,0506
1.0,14.0,-0.5,0.0,8.0,4.0,2.0,2.01,1.68,3.59,1.79,2.07,3.18,1.96,Fulham,3.75,3.2,2.0,4.0,3.1,1.9,2005-08-20,20,E0,1.0,2.0,H,8.0,26.0,0.0,16.0,9.0,0.0,1.0,H,2.0,Blackburn,3.5,3.1,1.9,1.75,2.35,4.4,1.84,2.12,3.3,2.1,08,H Webb,4.0,3.3,1.9,05,0506
3.0,19.0,-0.25,0.0,10.0,2.0,3.0,2.04,1.66,3.24,2.05,1.82,3.17,2.11,Portsmouth,3.25,3.2,2.2,3.1,3.0,2.25,2005-08-20,20,E0,1.0,2.0,H,3.0,21.0,0.0,6.0,2.0,0.0,1.0,H,4.0,West Brom,3.1,3.0,2.1,1.77,2.25,3.6,2.12,1.85,3.3,2.2,08,M Riley,3.4,3.25,2.1,05,0506
6.0,10.0,-0.5,0.0,12.0,3.0,1.0,1.99,1.72,3.91,1.95,1.89,3.2,1.86,Middlesbrough,4.0,3.3,1.9,4.0,3.1,1.9,2005-08-20,20,E0,0.0,2.0,H,5.0,16.0,0.0,18.0,8.0,0.0,0.0,D,3.0,Tottenham,3.5,3.1,1.9,1.8,2.15,4.5,2.01,1.94,3.5,2.0,08,M Atkinson,4.0,3.25,1.9,05,0506
4.0,12.0,-0.25,0.0,9.0,6.0,1.0,2.06,1.66,3.21,1.99,1.86,3.14,2.11,Man City,3.25,3.2,2.2,3.2,3.1,2.15,2005-08-20,20,E0,2.0,1.0,A,9.0,7.0,0.0,9.0,2.0,1.0,1.0,D,3.0,Birmingham,2.9,3.0,2.2,1.72,2.3,3.8,2.05,1.9,3.3,2.25,08,M Clattenburg,3.4,3.25,2.1,05,0506
7.0,21.0,-1.5,0.0,3.0,3.0,1.0,1.72,1.97,10.46,1.95,1.87,4.79,1.25,Aston Villa,13.0,5.5,1.22,10.0,5.0,1.25,2005-08-20,20,E0,0.0,1.0,H,11.0,13.0,0.0,18.0,12.0,0.0,0.0,D,2.0,Man United,8.5,4.3,1.27,2.1,1.8,16.0,2.0,1.95,5.6,1.3,08,P Dowd,13.0,5.0,1.25,05,0506
5.0,20.0,-1.5,1.0,2.0,0.0,3.0,1.75,1.94,10.23,1.96,1.87,4.57,1.27,Sunderland,10.0,5.0,1.28,9.0,4.5,1.3,2005-08-20,20,E0,0.0,1.0,H,5.0,8.0,0.0,15.0,6.0,0.0,1.0,H,2.0,Liverpool,7.5,4.0,1.33,2.05,1.88,16.0,2.01,1.95,5.25,1.33,08,B Knight,12.0,4.5,1.28,05,0506
2.0,11.0,-0.75,1.0,6.0,1.0,1.0,1.82,1.89,5.35,1.96,1.9,3.41,1.6,West Ham,5.5,3.6,1.61,5.25,3.5,1.6,2005-08-20,20,E0,0.0,0.0,D,10.0,9.0,0.0,14.0,6.0,0.0,0.0,D,1.0,Newcastle,4.4,3.3,1.65,2.05,1.95,6.5,2.01,1.99,3.8,1.7,08,D Gallagher,6.0,3.6,1.55,05,0506
3.0,13.0,-0.25,0.0,3.0,1.0,1.0,2.0,1.69,3.25,2.03,1.83,3.15,2.09,Everton,3.5,3.2,2.1,3.1,3.1,2.2,2005-08-21,21,E0,1.0,0.0,A,8.0,10.0,0.0,16.0,6.0,0.0,0.0,D,0.0,Bolton,3.2,3.1,2.0,1.75,2.15,3.7,2.08,1.86,3.27,2.2,08,A Wiley,3.4,3.25,2.1,05,0506
7.0,21.0,-0.5,0.0,9.0,3.0,3.0,2.02,1.68,3.79,1.81,2.04,3.18,1.91,Arsenal,3.75,3.2,2.0,4.3,3.2,1.8,2005-08-21,21,E0,0.0,1.0,H,3.0,17.0,0.0,9.0,6.0,0.0,0.0,D,2.0,Chelsea,3.7,3.1,1.9,1.75,2.2,4.4,1.87,2.1,3.35,2.15,08,G Poll,3.75,3.2,2.0,05,0506
2.0,15.0,0.0,0.0,8.0,3.0,1.0,2.07,1.66,2.82,2.1,1.75,3.14,2.32,Middlesbrough,2.75,3.2,2.5,2.9,3.2,2.25,2005-08-23,23,E0,3.0,0.0,A,2.0,14.0,0.0,14.0,8.0,2.0,0.0,A,0.0,Birmingham,2.7,3.0,2.3,1.72,2.25,3.15,2.19,1.8,3.3,2.5,08,P Dowd,2.8,3.25,2.35,05,0506
